9/25/14 11:28 AM
Project Statistics

                 	Segments	Words	Characters (without spaces)	Characters (including spaces)	#Files	
Total:           	    9510	38604	                     207356	                       235923	    64	
Remaining:       	    9042	37377	                     200890	                       228700	    61	
Unique:          	    7490	33641	                     181155	                       206837	    64	
Unique Remaining:	    7267	32778	                     176656	                       201708	    61	


Individual File Statistics:

File Name                 	Total Segments	Remaining Segments	Unique Segments	Unique Remaining Segments	Total Words	Remaining Words	Unique Words	Unique Remaining Words	Total Characters (without spaces)	Remaining Characters (without spaces)	Unique Characters (without spaces)	Unique Remaining Characters (without spaces)	Total Characters (including spaces)	Remaining Characters (including spaces)	Unique Characters (including spaces)	Unique Remaining Characters (including spaces)	
Mage_Cms.csv              	           125	               123	            111	                      111	        418	            416	         398	                   398	                             2123	                                 2108	                              2008	                                        2008	                               2417	                                   2402	                                2296	                                          2296	
Mage_GoogleCheckout.csv   	           132	               130	            123	                      123	        487	            484	         474	                   474	                             2706	                                 2691	                              2642	                                        2642	                               3064	                                   3048	                                2996	                                          2996	
Mage_Install.csv          	           132	               130	            117	                      117	        865	            862	         836	                   836	                             4557	                                 4544	                              4394	                                        4394	                               5283	                                   5269	                                5106	                                          5106	
Mage_Eav.csv              	           134	               131	            119	                      119	        720	            716	         689	                   689	                             3702	                                 3679	                              3557	                                        3557	                               4284	                                   4260	                                4123	                                          4123	
Mage_SalesRule.csv        	           134	               131	             87	                       87	        469	            466	         361	                   361	                             2412	                                 2395	                              1860	                                        1860	                               2743	                                   2726	                                2130	                                          2130	
Mage_Newsletter.csv       	           138	               134	            123	                      123	        400	            395	         383	                   383	                             2578	                                 2551	                              2488	                                        2488	                               2835	                                   2807	                                2743	                                          2743	
Mage_Payment.csv          	           138	               136	            114	                      114	        623	            620	         561	                   561	                             3421	                                 3405	                              3072	                                        3072	                               3895	                                   3878	                                3509	                                          3509	
Mage_Tax.csv              	           168	               159	            130	                      130	        586	            576	         510	                   510	                             2931	                                 2895	                              2580	                                        2580	                               3356	                                   3319	                                2965	                                          2965	
Mage_Reports.csv          	           177	               171	            126	                      126	        454	            445	         375	                   375	                             2533	                                 2496	                              2141	                                        2141	                               2809	                                   2769	                                2389	                                          2389	
Mage_Api2.csv             	           236	               233	            172	                      172	        812	            809	         691	                   691	                             4244	                                 4230	                              3605	                                        3605	                               4821	                                   4807	                                4126	                                          4126	
Mage_Usa.csv              	           307	               305	            258	                      258	        909	            905	         815	                   815	                             5135	                                 5113	                              4636	                                        4636	                               5735	                                   5711	                                5191	                                          5191	
Mage_Checkout.csv         	           343	               336	            263	                      263	       1483	           1475	        1275	                  1275	                             8137	                                 8087	                              7035	                                        7035	                               9262	                                   9210	                                8033	                                          8033	
Mage_Core.csv             	           422	               415	            361	                      361	       2046	           2033	        1887	                  1887	                            10738	                                10670	                              9918	                                        9918	                              12312	                                  12238	                               11397	                                         11397	
Mage_Customer.csv         	           488	               476	            357	                      357	       2152	           2134	        1749	                  1749	                            11327	                                11220	                              9262	                                        9262	                              12960	                                  12846	                               10624	                                         10624	
Mage_Paypal.csv           	           555	               551	            464	                      464	       2697	           2692	        2447	                  2447	                            15510	                                15480	                             14167	                                       14167	                              17603	                                  17572	                               16124	                                         16124	
Mage_XmlConnect.csv       	           753	               748	            575	                      575	       3714	           3706	        3021	                  3021	                            19472	                                19421	                             15980	                                       15980	                              22336	                                  22282	                               18338	                                         18338	
Mage_Catalog.csv          	           844	               829	            664	                      664	       3522	           3500	        3092	                  3092	                            18890	                                18763	                             16671	                                       16671	                              21510	                                  21375	                               19051	                                         19051	
Mage_Sales.csv            	           893	               876	            678	                      678	       3301	           3280	        2854	                  2854	                            17630	                                17528	                             15131	                                       15131	                              20030	                                  19924	                               17295	                                         17295	
Mage_Adminhtml.csv        	          1229	              1194	            766	                      766	       4783	           4731	        3542	                  3542	                            25743	                                25451	                             19020	                                       19020	                              29202	                                  28892	                               21722	                                         21722	
